video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=pvplzetlfkQ&pp=ygUCdXc%3D,/@UW_Athletics,UW Athletics,Inside Look at UW Rowing's 20th IRA National Championship,26K,1 year,Washington men's rowing's 2023-24 season culminated in the ultimate victory. Go behind the scenes with Head Coach Michael ...,2026-01-22 04:52:18.325408
/watch?v=Gq7DxcpuYMM&pp=ygUCdXc%3D,/@BECUVideo,BECU credit union,UW Bow Down to Washington | Singalong Song | Produced by BECU,97K,7 years,"As a proud partner of the University of Washington, BECU has collaborated with some of their most famous alumni to perform the ...",2026-01-22 04:52:18.330509
/watch?v=z87eMMrftLU&pp=ygUCdXc%3D,/@fox13seattle,FOX 13 Seattle,Cameras capture UW football players assaulting bicyclist | FOX 13 Seattle,1.9M,1 year,Newly released video shows the moment two former University of Washington football players assaulted a bicyclist in what Seattle ...,2026-01-22 04:52:18.332101
/watch?v=SL2UShYOamc&pp=ygUCdXc%3D,/@lucylee13,Lucy Lee,"week in my life as a UW grad student | msw classes, internship, seattle vlog",4K,1 year,"shop my favorite long-lasting, affordable jewelry starting at $39! Click here: https://shop.analuisa.com/mb-lucylee #analuisany ...",2026-01-22 04:52:18.334137
/watch?v=XZYdEuN55Zc&pp=ygUCdXc%3D,/@RealCharlieKirk,Charlie Kirk,I go to the University of Washington to Prove it's a Scam,705K,1 year,"For daily episodes, insight, and analysis like this, SUBSCRIBE to The Charlie Kirk Show TODAY: https://apple.co/2VCxGsh And ...",2026-01-22 04:52:18.336455
/watch?v=64eaz6VlAlI&pp=ygUCdXc%3D,/@lucylee13,Lucy Lee,week in my life as a grad student in seattle | university of washington,32K,2 years,"shop my favorite long-lasting, affordable jewelry starting at $39! Click here: https://shop.analuisa.com/mb-lucylee #analuisany ...",2026-01-22 04:52:18.337487
/watch?v=Y-cn6v6VGj4&pp=ygUCdXc%3D,/@CampusMania,CampusMania,University of Washington | UW | 8K Campus Drone Tour,43K,4 years,An 8K tour of University of Washington campus! Check below for selected chapters of the video. Washington Universities Playlist: ...,2026-01-22 04:52:18.340972
/shorts/XhQ_58ikkcA,/@greaterseattlepartners,Greater Seattle Partners,University of Washington Fast Facts,10K,1 year,Recently @Reuters ranked the @universityofwashington number one most innovative university in the entire world. That makes a ...,2026-01-22 04:52:18.342089
/watch?v=hK4kPOPyj_M&pp=ygUCdXc%3D,/@universityofwashington,UW (University of Washington),Behind the wheel of a UW driving + touchscreen simulation,1.2K,1 month,Read more at https://www.washington.edu/news.,2026-01-22 04:52:18.343142
/watch?v=k1jVJQ7PfqE&pp=ygUCdXc%3D,/@CFBonFOX,CFB ON FOX,Washington Huskies vs. Maryland Terrapins Highlights | FOX College Football,146K,3 months,Check out the best moments between the Washington Huskies and the Maryland Terrapins in Week 6! #CFBonFOX #CFB ...,2026-01-22 04:52:18.346286
/watch?v=kmyp8hJ0Woc&pp=ygUCdXfSBwkJhwoBhyohjO8%3D,/@CBSSports,CBS Sports,Washington Huskies vs Washington State Cougars | Apple Cup | Full Game Highlights,168K,4 months,Watch the full game highlights of the matchup between Washington and Washington State. SUBSCRIBE TO OUR CHANNEL: ...,2026-01-22 04:52:18.347322
/watch?v=hbmOw5OL_e8&pp=ygUCdXc%3D,/@universityofwashington,UW (University of Washington),UW's 2025 video storytelling highlights,871,1 month,"This year at the University of Washington, we saw cosmic images from a brand new telescope and supercharged a breast cancer ...",2026-01-22 04:52:18.348438
/watch?v=8GaQ66_bnXM&pp=ygUCdXc%3D,/@SDictionaryEd,SDictionary,UW Meaning,1.2K,10 years,"Video shows what UW means. underwriter. UW Meaning. How to pronounce, definition audio dictionary. How to say UW. Powered ...",2026-01-22 04:52:18.349579
