video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=lXYPM_8RpVo&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@fox13seattle,FOX 13 Seattle,Demond Williams Jr. announces return to UW,3.8K,13 days,Two days after shocking the University of Washington and the college football world by announcing his plans to enter the transfer ...,2026-01-22 04:46:35.698171
/watch?v=7Gh7tH6p3qU&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@UW_Athletics,UW Athletics,"Washington 1, Stanford 0 | Huskies Highlights",1.9K,1 month,"Home of the Huskies, competing in the Big Ten Conference and representing the University of Washington. Washington athletic ...",2026-01-22 04:46:35.699481
/watch?v=wxDjnCdtuNA&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@UWVideo,UW Video,UW Timeline: University of Washington Founded 1861,873,13 years,"Seattle pioneers Arthur Denny, Edward Lander and Charles Terry endowed the first ten acres of land to found the Territorial ...",2026-01-22 04:46:35.700911
/watch?v=k1jVJQ7PfqE&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@CFBonFOX,CFB ON FOX,Washington Huskies vs. Maryland Terrapins Highlights | FOX College Football,146K,3 months,Check out the best moments between the Washington Huskies and the Maryland Terrapins in Week 6! #CFBonFOX #CFB ...,2026-01-22 04:46:44.791308
/watch?v=raBwNDGLYjE&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@NCAAChampionships,NCAA Championships,Washington vs NC State: 2025 Men's College Cup championship highlights,34K,1 month,Watch extended match highlights from the 2025 Men's College Cup championship game showdown between Washington and ...,2026-01-22 04:46:44.793089
/watch?v=NsVq-TEh5F8&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@universityofwashington,UW (University of Washington),University of Washington 2015 Commencement,4.3K,10 years,"Meet some of the stellar graduates of the class of 2015, including first-generation college graduates, multi-generational Huskies ...",2026-01-22 04:46:44.794601
/watch?v=cLzqeGwFmL8&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@UW_Athletics,UW Athletics,Head Coach Jedd Fisch Postgame Press Conference: Maryland,9.6K,3 months,"Home of the Huskies, competing in the Big Ten Conference and representing the University of Washington. Washington athletic ...",2026-01-22 04:46:44.795978
/watch?v=Jkc6-GGbuPU&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@UW_Athletics,UW Athletics,"Washington 42, No. 23 Illinois 25 | Huskies Highlights",3.5K,2 months,"Home of the Huskies, competing in the Big Ten Conference and representing the University of Washington. Washington athletic ...",2026-01-22 04:46:44.797539
/watch?v=ArAhu5rpgq4&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u0gcJCYcKAYcqIYzv,/@komonews,KOMO News,"University of Washington students react to destructive pro-Palestinian protest, activists' arrests",3.5K,8 months,It's been a day since activists caused chaos in front of and inside the Interdisciplinary Engineering Building. A group dressed in all ...,2026-01-22 04:46:44.799177
/watch?v=FRqi8_mMpFQ&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@CFBonFOX,CFB ON FOX,Washington Huskies vs. Michigan Wolverines Highlights | FOX College Football,377K,3 months,Check out the best moments from this Big Ten clash between the Washington Huskies and the Michigan Wolverines. #CFBonFOX ...,2026-01-22 04:46:44.800784
/watch?v=ftVwrAcBLTI&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@UW_Athletics,UW Athletics,"Washington 1, Arkansas 0 | Huskies Highlights",2.7K,2 months,"Home of the Huskies, competing in the Big Ten Conference and representing the University of Washington. Washington athletic ...",2026-01-22 04:46:44.802124
/watch?v=nRcVRoDPEkI&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@universityofwashington,UW (University of Washington),A family of four earned University of Washington degrees in the same week,659,8 years,"This family of four has a lot to celebrate this year. Immigrants from Azerbaijan, they all earned UW degrees in the same week, and ...",2026-01-22 04:46:44.803321
/watch?v=msJuUvSZixE&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@UW_Athletics,UW Athletics,"Washington 1 (5), Virginia 1 (4) | Huskies Highlights",6.6K,1 month,"Home of the Huskies, competing in the Big Ten Conference and representing the University of Washington. Washington athletic ...",2026-01-22 04:46:44.804591
/watch?v=CxeU5EMtyQs&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@universityofwashingtonphys7316,University of Washington Physics,Research Groups | University of Washington Department of Physics,309,5 years,Learn more about our department at phys.washington.edu Instagram: @uwphysics Twitter: @physicsuw Pinterest: University of ...,2026-01-22 04:46:44.806314
/watch?v=Q4VLvJMhCe8&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@CFBonFOX,CFB ON FOX,Rutgers Scarlet Knights vs. Washington Huskies Highlights | FOX College Football,249K,3 months,Check out the best moments between the Rutgers Scarlet Knights and the Washington Huskies in Week 7! #CFBonFOX #CFB ...,2026-01-22 04:46:44.807770
/watch?v=FNsjgQul208&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@uwrecreation2837,UW Recreation,About University of Washington Recreation,8.7K,3 years,Learn more about what UW Recreation has to offer the Husky community! You'll discover how to get active and participate in our ...,2026-01-22 04:46:44.809457
/watch?v=HiOeWc7Maf4&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@UW_Athletics,UW Athletics,"Washington 49, Purdue 13 | Huskies Highlights",6.8K,2 months,"Home of the Huskies, competing in the Big Ten Conference and representing the University of Washington. Washington athletic ...",2026-01-22 04:46:44.810646
/watch?v=acyspf0FcNA&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@UW_Athletics,UW Athletics,"Washington 38, Rutgers 19 | Huskies Highlights",5.3K,3 months,"UW football defeated Rutgers 38-19 on Friday at Alaska Airlines Field at Husky Stadium, improving to 5-1 on the season. Demond ...",2026-01-22 04:46:44.812022
/watch?v=lbxjlh8YTlk&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@CFBonFOX,CFB ON FOX,No. 23 Washington Huskies vs. Wisconsin Badgers Highlights | FOX College Football,84K,2 months,Check out the best moments between the No. 23 Washington Huskies and the Wisconsin Badgers. #CFBonFOX #CFB ...,2026-01-22 04:46:44.813532
/watch?v=5Y8xdfnW6GU&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@universityofwashington,UW (University of Washington),Studying the life cycle of a large scale forest fire,191,9 days,More info about UW instructor and researcher Brian Harvey: https://environment.uw.edu/faculty/brian-harvey/ The Harvey Lab: ...,2026-01-22 04:46:44.814807
/watch?v=ss8uWYR7EeQ&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@UW_Athletics,UW Athletics,"Washington 3, No. 12 Indiana 0 | Huskies Highlights",1.5K,3 months,"UW men's soccer earned a dominant win Friday night at Husky Soccer Stadium, defeating No. 12 Indiana 3-0.",2026-01-22 04:46:44.816208
/watch?v=JodIhdkbUZc&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@TheCampusQuad,The Campus Quad,University of Washington Campus Tour,52K,8 years,WATCH IN HD! Campus tour of the University of Washington in Seattle. Definitely one of the most beautiful campuses on the West ...,2026-01-22 04:46:44.817384
/watch?v=XZYdEuN55Zc&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@RealCharlieKirk,Charlie Kirk,I go to the University of Washington to Prove it's a Scam,705K,1 year,"For daily episodes, insight, and analysis like this, SUBSCRIBE to The Charlie Kirk Show TODAY: https://apple.co/2VCxGsh And ...",2026-01-22 04:46:44.818553
